District,State,Major_Rivers,Number_of_Major_Rivers,Distance_to_Nearest_River_km,Number_of_Waterbodies,Reservoir_Present,Reservoir_Capacity_TMC,Waterbody_Area_sqkm,Flood_Plain_Area_sqkm,River_Bank_Breach_History,Flood_Risk_From_River
Kamareddy,Telangana,Minor Stream,0.0,0.17437722419928825,0.41379310344827586,No,0.3,0.6529411764705882,0.5493209435310935,Never,High
Jagtial,Telangana,Minor Stream,0.0,0.9074733096085408,0.06896551724137931,No,0.657142857142857,0.9999999999999999,0.6947819871336669,Occasional,Low
Rajanna Sircilla,Telangana,Minor Stream,0.0,0.11387900355871884,0.8103448275862069,Yes,0.4775510204081633,0.2880252100840336,0.17441029306647604,Rare,High
Karimnagar,Telangana,"Godavari, Manair",1.0,0.686832740213523,0.5689655172413792,No,0.8551020408163265,0.475,0.5328806290207291,Frequent,Low
Peddapalli,Telangana,Minor Stream,0.0,0.9679715302491104,0.5689655172413792,Yes,0.8061224489795917,0.4871848739495799,0.12973552537526803,Never,Low
Jayashankar Bhupalpally,Telangana,Minor Stream,0.0,0.32028469750889677,0.9655172413793103,Yes,0.5673469387755101,0.8355042016806722,0.7812723373838455,Occasional,Medium
Mulugu,Telangana,Godavari,0.0,0.2562277580071174,0.034482758620689655,Yes,0.3183673469387755,0.390126050420168,0.986061472480343,Occasional,Medium
Bhadradri Kothagudem,Telangana,Godavari,0.0,0.5160142348754448,0.7241379310344828,Yes,0.12040816326530611,0.18235294117647055,0.635096497498213,Frequent,Medium
Khammam,Telangana,"Krishna, Kinnerasani",1.0,0.16370106761565834,0.5,No,0.012244897959183671,0.05042016806722689,0.3198713366690493,Frequent,High
Nalgonda,Telangana,"Krishna, Musi",1.0,0.7437722419928826,0.7241379310344828,Yes,0.8387755102040815,0.676470588235294,0.39742673338098644,Occasional,Low
Suryapet,Telangana,Minor Stream,0.0,0.12455516014234876,0.10344827586206895,Yes,0.1653061224489796,0.3796218487394958,0.5096497498213008,Rare,High
Yadadri Bhuvanagiri,Telangana,Minor Stream,0.0,0.5836298932384342,0.3103448275862069,No,1.0,0.6789915966386554,0.45103645461043596,Frequent,Medium
Mahabubnagar,Telangana,Krishna,0.0,0.20284697508896793,0.603448275862069,No,0.9612244897959182,0.886344537815126,0.0,Rare,High
Nagarkurnool,Telangana,Minor Stream,0.0,0.9999999999999999,0.5,Yes,0.27959183673469384,0.6262605042016807,0.19585418155825587,Occasional,Low
Wanaparthy,Telangana,Minor Stream,0.0,0.6405693950177935,0.17241379310344826,No,0.5367346938775509,0.8945378151260505,0.6208005718370263,Occasional,Low
Gadwal,Telangana,Minor Stream,0.0,0.3167259786476868,0.5,No,0.00816326530612245,0.27373949579831935,0.9767691208005719,Never,Medium
Narayanpet,Telangana,Minor Stream,0.0,0.43060498220640564,0.39655172413793105,No,0.16938775510204082,0.07478991596638655,0.916011436740529,Frequent,Medium
Vikarabad,Telangana,Minor Stream,0.0,0.8683274021352313,0.603448275862069,No,0.2204081632653061,0.6144957983193278,0.6940671908506075,Occasional,Low
Siddipet,Telangana,Minor Stream,0.0,0.4199288256227757,0.0,Yes,0.37755102040816324,0.020798319327731088,0.29342387419585414,Frequent,Medium
Jangaon,Telangana,Minor Stream,0.0,0.5266903914590747,0.3103448275862069,No,0.16938775510204082,0.9678571428571429,0.7405289492494638,Rare,Medium
Warangal,Telangana,Manair,0.0,0.587188612099644,0.05172413793103448,No,0.05918367346938775,0.32331932773109245,0.3155825589706933,Never,Medium
Hanamkonda,Telangana,Minor Stream,0.0,0.02846975088967972,0.8103448275862069,Yes,0.5795918367346938,0.01218487394957983,0.9999999999999999,Never,High
Mahabubabad,Telangana,Minor Stream,0.0,0.6263345195729537,0.20689655172413793,Yes,0.6673469387755101,0.1264705882352941,0.1165117941386705,Frequent,Low
Nirmal,Telangana,Minor Stream,0.0,0.4199288256227757,0.5862068965517241,No,0.930612244897959,0.0,0.7269478198713366,Rare,Medium
Adilabad,Telangana,"Godavari, Penganga",1.0,0.25978647686832734,0.7068965517241379,No,0.08571428571428572,0.7638655462184875,0.7641172265904217,Rare,Medium
Kumuram Bheem,Telangana,Minor Stream,0.0,0.1779359430604982,0.9999999999999999,No,0.6102040816326529,0.9357142857142856,0.7108649035025018,Never,High
Mancherial,Telangana,Godavari,0.0,0.7544483985765125,0.8448275862068965,No,0.10816326530612244,0.05546218487394958,0.1801286633309507,Never,Low
Asifabad,Telangana,Minor Stream,0.0,0.34875444839857644,0.9310344827586207,No,0.5959183673469387,0.06785714285714284,0.6211579699785561,Frequent,Medium
