District,State,Slope_Category,Mean_Slope_Degrees,Max_Slope_Degrees,Runoff_Coefficient,Surface_Water_Flow_Speed,Waterlogging_Potential,Impervious_Runoff_mm_per_100mm_rain,Time_to_Peak_Flow_hrs,Curve_Number
Alluri Sitharama Raju,Andhra Pradesh,Steep,1.0,0.9999999999999999,0.0,Very Fast,Very Low,0.0,0.7363636363636364,0.5365853658536586
Anakapalli,Andhra Pradesh,Moderate,0.3857884490590526,0.31763527054108215,0.1515151515151515,Fast,Low,0.1515151515151515,0.9909090909090909,0.36585365853658525
Bapatla,Andhra Pradesh,Very Flat,0.003569110966904607,0.0060120240480961915,0.8181818181818182,Very Slow,Extreme,0.8181818181818182,0.9181818181818183,0.7560975609756098
Eluru,Andhra Pradesh,Moderate,0.4033095392602206,0.49498997995991983,0.25757575757575757,Fast,Low,0.25757575757575757,0.5545454545454546,0.3170731707317074
Konaseema,Andhra Pradesh,Very Flat,0.0,0.0,0.9242424242424242,Very Slow,Extreme,0.9242424242424242,0.6454545454545455,0.36585365853658525
Parvathipuram Manyam,Andhra Pradesh,Steep,0.8036988968202466,0.7835671342685371,0.03030303030303033,Very Fast,Very Low,0.03030303030303033,0.18181818181818185,0.6097560975609755
Sri Sathya Sai,Andhra Pradesh,Gentle,0.1327060350421804,0.09919839679358716,0.5909090909090909,Moderate,Medium,0.5909090909090909,0.07272727272727272,0.36585365853658525
Tirupati,Andhra Pradesh,Gentle,0.12654120700843607,0.09018036072144288,0.21212121212121215,Moderate,Medium,0.21212121212121215,0.6090909090909091,0.07317073170731692
Hyderabad,Telangana,Flat,0.07657365347177159,0.052104208416833664,0.8030303030303031,Slow,High,0.8030303030303031,0.5181818181818183,0.5365853658536586
Rangareddy,Telangana,Flat,0.09279688513951978,0.08817635270541081,0.7272727272727272,Slow,High,0.7272727272727274,0.7181818181818183,0.36585365853658525
Medchal Malkajgiri,Telangana,Flat,0.04023361453601558,0.03507014028056112,0.5454545454545454,Slow,High,0.5454545454545455,0.6454545454545455,0.3902439024390243
Sangareddy,Telangana,Flat,0.04153147306943543,0.03507014028056112,0.712121212121212,Slow,High,0.7121212121212123,0.0,0.36585365853658525
Medak,Telangana,Gentle,0.21252433484750163,0.156312625250501,0.2727272727272727,Moderate,Medium,0.2727272727272728,0.7363636363636364,0.4390243902439024
Nizamabad,Telangana,Moderate,0.3082414016872161,0.1933867735470942,0.2272727272727273,Fast,Low,0.2272727272727273,0.28181818181818186,0.902439024390244
Kamareddy,Telangana,Gentle,0.20765736534717716,0.13326653306613226,0.3939393939393939,Moderate,Medium,0.3939393939393939,0.8727272727272729,0.1707317073170731
Jagtial,Telangana,Flat,0.058403634003893576,0.07314629258517033,0.7727272727272728,Slow,High,0.7727272727272728,0.9636363636363637,0.9512195121951221
Rajanna Sircilla,Telangana,Gentle,0.21479558728098636,0.17334669338677353,0.24242424242424243,Moderate,Medium,0.24242424242424243,0.28181818181818186,0.9999999999999998
Karimnagar,Telangana,Flat,0.06294613887086309,0.05711422845691383,0.6515151515151515,Slow,High,0.6515151515151515,0.32727272727272727,0.46341463414634143
Peddapalli,Telangana,Moderate,0.4597663854639844,0.3667334669338677,0.12121212121212122,Fast,Low,0.12121212121212122,0.6090909090909091,0.0
Jayashankar Bhupalpally,Telangana,Moderate,0.4234263465282284,0.27054108216432865,0.2727272727272727,Fast,Low,0.2727272727272728,0.38181818181818183,0.7804878048780488
Mulugu,Telangana,Moderate,0.4529526281635302,0.40981963927855714,0.21212121212121215,Fast,Low,0.21212121212121215,0.7454545454545456,0.4390243902439024
Bhadradri Kothagudem,Telangana,Gentle,0.13043478260869565,0.0811623246492986,0.48484848484848475,Moderate,Medium,0.48484848484848486,0.9545454545454545,0.46341463414634143
Khammam,Telangana,Moderate,0.3127839065541856,0.38176352705410815,0.06060606060606061,Fast,Low,0.06060606060606066,0.42727272727272736,0.12195121951219501
Nalgonda,Telangana,Gentle,0.21576898118105126,0.14028056112224446,0.5,Moderate,Medium,0.5,0.8636363636363636,0.04878048780487809
Suryapet,Telangana,Gentle,0.2154445165476963,0.19138276553106212,0.4696969696969696,Moderate,Medium,0.4696969696969697,0.15454545454545454,0.07317073170731692
Yadadri Bhuvanagiri,Telangana,Flat,0.06164828033744322,0.038076152304609215,0.787878787878788,Slow,High,0.787878787878788,0.21818181818181823,0.853658536585366
Mahabubnagar,Telangana,Flat,0.08176508760545101,0.08617234468937876,0.7424242424242423,Slow,High,0.7424242424242425,0.1181818181818182,0.46341463414634143
Nagarkurnool,Telangana,Moderate,0.47047371836469826,0.44889779559118237,0.2272727272727273,Fast,Low,0.2272727272727273,0.5090909090909091,0.29268292682926833
Wanaparthy,Telangana,Gentle,0.15347177157689812,0.125250501002004,0.3484848484848485,Moderate,Medium,0.3484848484848485,0.390909090909091,0.0
Gadwal,Telangana,Moderate,0.46755353666450356,0.39679358717434865,0.18181818181818188,Fast,Low,0.18181818181818188,0.32727272727272727,0.3414634146341462
Narayanpet,Telangana,Moderate,0.45035691109669046,0.42585170340681366,0.18181818181818188,Fast,Low,0.18181818181818188,0.9636363636363637,0.8292682926829269
Vikarabad,Telangana,Flat,0.07527579493835171,0.058116232464929855,0.787878787878788,Slow,High,0.787878787878788,0.06363636363636363,0.6585365853658536
Siddipet,Telangana,Moderate,0.482154445165477,0.38577154308617234,0.19696969696969702,Fast,Low,0.19696969696969702,0.690909090909091,0.4390243902439024
Jangaon,Telangana,Flat,0.02952628163530175,0.03707414829659318,0.7424242424242423,Slow,High,0.7424242424242425,0.36363636363636365,0.7317073170731707
Warangal,Telangana,Gentle,0.20214146658014276,0.24048096192384769,0.3484848484848485,Moderate,Medium,0.3484848484848485,0.5636363636363637,0.46341463414634143
Hanamkonda,Telangana,Moderate,0.47306943543153795,0.48196392785571135,0.24242424242424243,Fast,Low,0.24242424242424243,0.7000000000000001,0.14634146341463405
Mahabubabad,Telangana,Gentle,0.19759896171317326,0.15531062124248496,0.36363636363636365,Moderate,Medium,0.36363636363636365,0.7636363636363637,0.024390243902439046
Nirmal,Telangana,Moderate,0.2790395846852693,0.21442885771543085,0.2727272727272727,Fast,Low,0.2727272727272728,0.1272727272727273,0.4878048780487805
Adilabad,Telangana,Gentle,0.14698247890979882,0.12424849699398796,0.25757575757575757,Moderate,Medium,0.25757575757575757,0.9090909090909091,0.6585365853658536
Kumuram Bheem,Telangana,Moderate,0.41304347826086957,0.4268537074148296,0.24242424242424243,Fast,Low,0.24242424242424243,0.40909090909090917,0.7073170731707317
Mancherial,Telangana,Flat,0.08046722907203116,0.0871743486973948,0.5909090909090909,Slow,High,0.5909090909090909,0.9999999999999999,0.9268292682926831
Asifabad,Telangana,Flat,0.08565866320571058,0.08216432865731463,0.7424242424242423,Slow,High,0.7424242424242425,0.2545454545454545,0.46341463414634143
