District,State,Urban_Percent,Agriculture_Percent,Forest_Percent,Waterbody_Percent,Wasteland_Percent,Impervious_Surface_Percent,Green_Cover_Percent,Runoff_Potential,Urban_Heat_Island_Risk
Eluru,Andhra Pradesh,0.1494252873563218,0.956973293768546,0.19692737430167598,0.3280423280423281,0.0,0.14942528735632185,0.2766251728907331,Low,Low
Konaseema,Andhra Pradesh,0.16091954022988503,0.6083086053412462,0.17039106145251398,0.9576719576719577,0.07733333333333334,0.16091954022988506,0.21715076071922546,Medium,Low
Parvathipuram Manyam,Andhra Pradesh,0.03735632183908046,0.18545994065281898,0.9999999999999999,0.13227513227513227,0.0,0.038314176245210725,1.0,Low,Low
Sri Sathya Sai,Andhra Pradesh,0.17385057471264362,0.8115727002967359,0.17737430167597765,0.10052910052910054,0.10666666666666667,0.17432950191570884,0.24343015214384517,Medium,Low
Tirupati,Andhra Pradesh,0.0603448275862069,0.8724035608308603,0.10195530726256985,0.1216931216931217,0.3413333333333334,0.061302681992337175,0.17427385892116182,Low,Low
Hyderabad,Telangana,0.9841954022988503,0.0,0.03212290502793297,0.07936507936507937,0.34933333333333333,0.9846743295019159,0.023513139695712316,Very High,Extreme
Rangareddy,Telangana,0.9999999999999999,0.0741839762611276,0.0,0.0,0.28800000000000003,1.0,0.0,Very High,Extreme
Medchal Malkajgiri,Telangana,0.5330459770114941,0.32937685459940647,0.09916201117318438,0.04761904761904763,0.48266666666666674,0.5325670498084292,0.12171507607192257,High,Medium
Sangareddy,Telangana,0.2140804597701149,0.9035608308605341,0.24022346368715083,0.29629629629629634,0.0,0.2145593869731801,0.31396957123098207,Medium,Low
Medak,Telangana,0.19971264367816086,0.9688427299703262,0.1857541899441341,0.2698412698412699,0.0,0.1992337164750958,0.26694329183955745,Medium,Low
Nizamabad,Telangana,0.12356321839080459,0.6409495548961424,0.10474860335195531,0.24338624338624343,0.5733333333333334,0.12452107279693486,0.15629322268326418,Low,Low
Kamareddy,Telangana,0.17816091954022986,0.890207715133531,0.07960893854748605,0.24338624338624343,0.07200000000000001,0.1781609195402299,0.15491009681881052,Medium,Low
Jagtial,Telangana,0.1293103448275862,1.0,0.16759776536312848,0.03174603174603176,0.0,0.13026819923371646,0.25172890733056713,Low,Low
Rajanna Sircilla,Telangana,0.05028735632183908,0.64540059347181,0.10893854748603353,0.19576719576719576,0.7173333333333334,0.04980842911877394,0.16044260027662516,Low,Low
Karimnagar,Telangana,0.153735632183908,0.8560830860534124,0.1717877094972067,0.18518518518518517,0.032,0.1532567049808429,0.24204702627939145,Low,Low
Peddapalli,Telangana,0.09051724137931033,0.9643916913946586,0.07122905027932962,0.24338624338624343,0.11733333333333335,0.09003831417624522,0.15352697095435686,Low,Low
Jayashankar Bhupalpally,Telangana,0.08764367816091953,0.7982195845697329,0.06703910614525141,0.04232804232804231,0.5306666666666666,0.08812260536398467,0.1327800829875519,Low,Low
Mulugu,Telangana,0.03304597701149425,0.22551928783382788,0.7206703910614525,0.11640211640211641,0.376,0.03256704980842912,0.727524204702628,Low,Low
Bhadradri Kothagudem,Telangana,0.02155172413793103,0.2566765578635015,0.8840782122905028,0.3703703703703704,0.0,0.02107279693486589,0.8921161825726142,Low,Low
Khammam,Telangana,0.1422413793103448,0.6795252225519287,0.24441340782122903,0.12698412698412698,0.26133333333333336,0.1417624521072797,0.2973720608575381,Low,Low
Nalgonda,Telangana,0.11781609195402298,0.7210682492581602,0.1857541899441341,0.07407407407407408,0.3706666666666667,0.11877394636015326,0.24343015214384517,Low,Low
Suryapet,Telangana,0.17528735632183906,0.6468842729970326,0.1717877094972067,0.05291005291005292,0.4346666666666667,0.17624521072796936,0.22268326417704015,Medium,Low
Yadadri Bhuvanagiri,Telangana,0.16810344827586204,0.6913946587537091,0.25139664804469275,0.026455026455026454,0.22933333333333333,0.1685823754789272,0.3056708160442601,Medium,Low
Mahabubnagar,Telangana,0.04885057471264368,0.6468842729970326,0.08379888268156425,0.021164021164021163,0.8533333333333334,0.04980842911877394,0.13554633471645922,Low,Low
Nagarkurnool,Telangana,0.17528735632183906,0.7789317507418396,0.23743016759776533,0.28571428571428575,0.0,0.17624521072796936,0.3001383125864454,Medium,Low
Wanaparthy,Telangana,0.10201149425287356,0.7270029673590503,0.18435754189944134,0.05820105820105821,0.4,0.10344827586206895,0.24343015214384517,Low,Low
Gadwal,Telangana,0.11925287356321837,0.6468842729970326,0.05865921787709498,0.07407407407407408,0.744,0.11877394636015326,0.11065006915629323,Low,Low
Narayanpet,Telangana,0.041666666666666664,0.7418397626112759,0.12430167597765364,0.1481481481481482,0.5546666666666668,0.0421455938697318,0.1839557399723375,Low,Low
Vikarabad,Telangana,0.17097701149425285,0.6721068249258159,0.11033519553072625,0.04232804232804231,0.52,0.17049808429118773,0.1645919778699862,Medium,Low
Siddipet,Telangana,0.11637931034482757,0.890207715133531,0.09497206703910616,0.04761904761904763,0.256,0.11685823754789273,0.17012448132780084,Low,Low
Jangaon,Telangana,0.20689655172413787,0.7685459940652818,0.09497206703910616,0.12698412698412698,0.26666666666666666,0.20689655172413796,0.15767634854771784,Medium,Low
Warangal,Telangana,0.564655172413793,0.36943620178041536,0.12988826815642457,0.2751322751322752,0.1786666666666667,0.5651340996168583,0.15491009681881052,High,Medium
Hanamkonda,Telangana,0.08908045977011492,0.8100890207715132,0.07541899441340782,0.23809523809523808,0.392,0.09003831417624522,0.14246196403872757,Low,Low
Mahabubabad,Telangana,0.09913793103448273,0.9925816023738872,0.08659217877094974,0.07407407407407408,0.10666666666666667,0.0996168582375479,0.17012448132780084,Low,Low
Nirmal,Telangana,0.1307471264367816,0.6379821958456973,0.14804469273743018,0.04761904761904763,0.5813333333333334,0.13218390804597702,0.19917012448132781,Low,Low
Adilabad,Telangana,0.16091954022988503,0.6943620178041542,0.09636871508379889,0.22751322751322756,0.432,0.16091954022988506,0.1521438450899032,Medium,Low
Kumuram Bheem,Telangana,0.0,0.25222551928783377,0.7625698324022346,0.4126984126984128,0.16,0.0,0.7704011065006917,Low,Low
Mancherial,Telangana,0.16522988505747124,0.6765578635014836,0.05446927374301676,0.07936507936507937,0.6106666666666667,0.16666666666666669,0.10926694329183957,Medium,Low
Asifabad,Telangana,0.15517241379310343,0.9821958456973294,0.05446927374301676,0.11640211640211641,0.06133333333333333,0.15517241379310348,0.13831258644536654,Medium,Low
