District,State,Drainage_Quality,Drainage_Capacity_Percent,Drainage_Type,Drainage_Network_km,Drain_Coverage_Percent,Blocked_Drains_Percent,Waterlogging_Risk_Drainage,Last_Maintenance_Year,Overflow_Threshold_mm_per_hr,Pump_Stations,Storm_Water_Capacity_m3
Anakapalli,Andhra Pradesh,Good,0.8412121212121212,Storm Drain,0.567038626609442,0.867816091954023,0.38461538461538464,Low,0.846153846153868,0.14732965009208104,0.8333333333333333,0.3859858379678893
Bapatla,Andhra Pradesh,Moderate,0.587878787878788,Mixed,0.16283261802575105,0.5873563218390805,0.22879684418145954,Medium,0.6923076923077076,0.548802946593002,0.29166666666666663,0.25497172291107983
Eluru,Andhra Pradesh,Poor,0.27999999999999997,Open Channel,0.18248927038626608,0.14022988505747125,0.7435897435897435,High,0.4615384615384812,0.992633517495396,0.5833333333333333,0.8453818172905871
Konaseema,Andhra Pradesh,Poor,0.33575757575757575,Open Channel,0.12463519313304718,0.3022988505747126,0.6193293885601577,High,0.4615384615384812,0.44198895027624313,0.3333333333333333,0.6041125855001542
Parvathipuram Manyam,Andhra Pradesh,Very Poor,0.03393939393939393,Natural/None,0.10214592274678111,0.9011494252873562,0.7140039447731754,Extreme,0.0,0.8987108655616942,1.0,0.3588790467690184
Sri Sathya Sai,Andhra Pradesh,Good,0.833939393939394,Storm Drain,0.002746781115879827,0.554022988505747,0.16765285996055226,Low,0.846153846153868,0.7937384898710866,0.9583333333333333,0.3224200858218329
Tirupati,Andhra Pradesh,Moderate,0.6024242424242424,Mixed,0.990901287553648,0.49885057471264366,0.03155818540433925,Medium,0.6923076923077076,0.03130755064456722,0.5833333333333333,0.8960845065244608
Hyderabad,Telangana,Excellent,1.0,Underground Sewer,0.04686695278969956,0.44137931034482764,0.3550295857988166,Very Low,1.0,0.9705340699815839,0.5416666666666666,0.6594106846343789
Rangareddy,Telangana,Good,0.7103030303030303,Storm Drain,0.7380257510729613,0.23448275862068968,0.7652859960552267,Low,0.846153846153868,0.07734806629834257,1.0,0.3417555282781101
Medchal Malkajgiri,Telangana,Good,0.7806060606060605,Storm Drain,0.0,0.5287356321839081,0.045364891518737675,Low,0.846153846153868,0.548802946593002,0.25,0.9891221541647689
Sangareddy,Telangana,Poor,0.19272727272727272,Open Channel,1.0,0.7816091954022988,0.3254437869822486,High,0.4615384615384812,0.4530386740331492,0.875,0.6083362777996769
Medak,Telangana,Moderate,0.5393939393939394,Mixed,0.3544206008583691,0.20919540229885053,0.16765285996055226,Medium,0.6923076923077076,0.19889502762430938,0.4583333333333333,0.20540461052369288
Nizamabad,Telangana,Moderate,0.45333333333333337,Mixed,0.32935622317596563,0.8275862068965518,0.6153846153846153,Medium,0.6923076923077076,0.6279926335174955,0.9166666666666666,0.6671248460537683
Kamareddy,Telangana,Moderate,0.4909090909090909,Mixed,0.4211158798283262,0.08160919540229886,0.591715976331361,Medium,0.6923076923077076,0.16574585635359118,0.5,0.3128167003322992
Jagtial,Telangana,Poor,0.14424242424242423,Open Channel,0.10394849785407724,0.33333333333333337,0.33727810650887574,High,0.4615384615384812,0.4806629834254144,0.125,0.7807846509224519
Rajanna Sircilla,Telangana,Good,0.7260606060606061,Storm Drain,0.38575107296137334,1.0,0.21499013806706116,Low,0.846153846153868,0.0,0.5833333333333333,0.3152124406936822
Karimnagar,Telangana,Moderate,0.4763636363636364,Mixed,0.03158798283261802,0.13793103448275862,0.37869822485207105,Medium,0.6923076923077076,0.5580110497237569,0.75,0.17307130646482263
Peddapalli,Telangana,Poor,0.15757575757575756,Open Channel,0.6601716738197425,0.12873563218390802,0.9408284023668638,High,0.4615384615384812,0.0036832412523020303,0.0,0.29473120936891745
Jayashankar Bhupalpally,Telangana,Good,0.7212121212121213,Storm Drain,0.7682403433476395,0.974712643678161,0.003944773175542399,Low,0.846153846153868,0.44935543278084716,0.3333333333333333,0.6670451922821622
Mulugu,Telangana,Very Poor,0.1309090909090909,Natural/None,0.42995708154506435,0.4839080459770115,0.3412228796844181,Extreme,0.0,0.27071823204419887,0.5833333333333333,0.14516593514549067
Bhadradri Kothagudem,Telangana,Moderate,0.5212121212121212,Mixed,0.7478111587982833,0.05862068965517242,0.9506903353057199,Medium,0.6923076923077076,0.014732965009208107,0.5,0.7295386821181368
Khammam,Telangana,Poor,0.3624242424242424,Open Channel,0.2714163090128755,0.26091954022988506,0.2445759368836292,High,0.4615384615384812,0.5948434622467773,0.29166666666666663,0.7411150302582211
Nalgonda,Telangana,Poor,0.3381818181818182,Open Channel,0.9792274678111588,0.14597701149425285,0.717948717948718,High,0.4615384615384812,0.847145488029466,0.125,0.30731446287827885
Suryapet,Telangana,Good,0.6666666666666667,Storm Drain,0.16163090128755367,0.08275862068965517,0.14201183431952663,Low,0.846153846153868,0.9558011049723758,0.5416666666666666,1.0
Yadadri Bhuvanagiri,Telangana,Moderate,0.44969696969696965,Mixed,0.7176824034334763,0.693103448275862,0.9487179487179487,Medium,0.6923076923077076,0.22099447513812154,0.3333333333333333,0.2557784726491415
Mahabubnagar,Telangana,Moderate,0.5987878787878789,Mixed,0.013476394849785408,0.23563218390804597,0.14595660749506903,Medium,0.6923076923077076,0.3001841620626151,0.4583333333333333,0.6085548150704936
Nagarkurnool,Telangana,Good,0.7066666666666667,Storm Drain,0.35991416309012875,0.014942528735632177,0.6686390532544378,Low,0.846153846153868,0.8637200736648252,0.041666666666666664,0.1747133996025481
Wanaparthy,Telangana,Poor,0.25212121212121213,Open Channel,0.5225751072961373,0.8701149425287358,0.7534516765285996,High,0.4615384615384812,0.27624309392265195,0.375,0.055441067442235696
Gadwal,Telangana,Poor,0.20848484848484844,Open Channel,0.39896995708154503,0.23563218390804597,0.39250493096646943,High,0.4615384615384812,0.4327808471454881,0.8333333333333333,0.7519969609022525
Narayanpet,Telangana,Poor,0.3781818181818182,Open Channel,0.30969957081545063,0.07816091954022988,0.0,High,0.4615384615384812,0.04788213627992635,0.3333333333333333,0.5156580933337963
Vikarabad,Telangana,Poor,0.24606060606060604,Open Channel,0.21776824034334763,0.3804597701149425,0.14201183431952663,High,0.4615384615384812,0.48434622467771643,0.5416666666666666,0.7911661924884451
Siddipet,Telangana,Moderate,0.5187878787878788,Mixed,0.38128755364806866,0.38850574712643676,0.32938856015779094,Medium,0.6923076923077076,0.27071823204419887,0.9583333333333333,0.0
Jangaon,Telangana,Moderate,0.6048484848484849,Mixed,0.7660085836909871,0.5057471264367817,0.46351084812623283,Medium,0.6923076923077076,0.3683241252302026,1.0,0.4721916428896754
Warangal,Telangana,Moderate,0.42666666666666664,Mixed,0.8434334763948498,0.8931034482758622,0.7357001972386588,Medium,0.6923076923077076,0.5303867403314917,0.20833333333333331,0.7376878756747594
Hanamkonda,Telangana,Good,0.8218181818181819,Storm Drain,0.13819742489270387,0.9413793103448276,0.767258382642998,Low,0.846153846153868,1.0,0.7916666666666666,0.21898659978473056
Mahabubabad,Telangana,Moderate,0.5042424242424243,Mixed,0.5427467811158798,0.6770114942528735,0.8599605522682446,Medium,0.6923076923077076,0.4143646408839779,0.41666666666666663,0.130785365763992
Nirmal,Telangana,Moderate,0.5381818181818182,Mixed,0.4110729613733905,0.46551724137931033,0.15384615384615385,Medium,0.6923076923077076,0.9815837937384899,0.9583333333333333,0.8607447831885608
Adilabad,Telangana,Poor,0.35151515151515156,Open Channel,0.5506437768240343,0.3505747126436782,0.5009861932938856,High,0.4615384615384812,0.6003683241252302,0.0,0.19024588506573475
Kumuram Bheem,Telangana,Very Poor,0.0,Natural/None,0.8949356223175965,0.3172413793103448,0.10848126232741614,Extreme,0.0,0.2965009208103131,0.7916666666666666,0.358664594307002
Mancherial,Telangana,Good,0.8424242424242425,Storm Drain,0.30901287553648066,0.57816091954023,0.48717948717948717,Low,0.846153846153868,0.5138121546961327,0.3333333333333333,0.8750028083060502
Asifabad,Telangana,Very Poor,0.10060606060606059,Natural/None,0.19957081545064378,0.6632183908045977,0.9368836291913215,Extreme,0.0,0.6998158379373851,0.7916666666666666,0.30779647031671564
