District,State,Urban_Percent,Agriculture_Percent,Forest_Percent,Waterbody_Percent,Wasteland_Percent,Impervious_Surface_Percent,Green_Cover_Percent,Runoff_Potential,Urban_Heat_Island_Risk
48,1,0.1709770114942528,0.6721068249258159,0.1103351955307262,0.0423280423280423,0.52,0.1704980842911877,0.1645919778699862,2,2
43,1,0.1163793103448275,0.890207715133531,0.0949720670391061,0.0476190476190476,0.256,0.1168582375478927,0.1701244813278008,1,2
15,1,0.2068965517241378,0.7685459940652818,0.0949720670391061,0.1269841269841269,0.2666666666666666,0.2068965517241379,0.1576763485477178,2,2
52,1,0.564655172413793,0.3694362017804153,0.1298882681564245,0.2751322751322752,0.1786666666666667,0.5651340996168583,0.1549100968188105,0,3
12,1,0.0890804597701149,0.8100890207715132,0.0754189944134078,0.238095238095238,0.392,0.0900383141762452,0.1424619640387275,1,2
25,1,0.0991379310344827,0.9925816023738872,0.0865921787709497,0.074074074074074,0.1066666666666666,0.0996168582375479,0.1701244813278008,1,2
35,1,0.1307471264367816,0.6379821958456973,0.1480446927374301,0.0476190476190476,0.5813333333333334,0.132183908045977,0.1991701244813278,1,2
0,1,0.160919540229885,0.6943620178041542,0.0963687150837988,0.2275132275132275,0.432,0.160919540229885,0.1521438450899032,2,2
23,1,0.0,0.2522255192878337,0.7625698324022346,0.4126984126984128,0.16,0.0,0.7704011065006917,1,2
27,1,0.1652298850574712,0.6765578635014836,0.0544692737430167,0.0793650793650793,0.6106666666666667,0.1666666666666666,0.1092669432918395,2,2
4,1,0.1551724137931034,0.9821958456973294,0.0544692737430167,0.1164021164021164,0.0613333333333333,0.1551724137931034,0.1383125864453665,2,2
