District,State,Mean_Elevation_m,Min_Elevation_m,Max_Elevation_m,Elevation_Std_Dev,Terrain_Type,Flood_Risk_Elevation,Inundation_Depth_Potential_m
Bapatla,Andhra Pradesh,0.007656967840735069,0.0,0.3582554517133956,0.9814550641940085,Coastal/Delta,Extreme,0.946372239747634
Eluru,Andhra Pradesh,0.03062787136294028,0.0,0.35202492211838005,0.8445078459343796,Low Plains,High,0.7886435331230284
Konaseema,Andhra Pradesh,0.0,0.0,0.2274143302180685,0.18830242510699005,Coastal/Delta,Extreme,0.9999999999999999
Parvathipuram Manyam,Andhra Pradesh,0.8805513016845329,0.8411214953271028,0.7248182762201454,0.3651925820256776,Hilly/Highland,Low,0.0
Sri Sathya Sai,Andhra Pradesh,0.07044410413476264,0.045171339563862926,0.021806853582554513,0.2196861626248217,Low Plains,High,0.5141955835962144
Tirupati,Andhra Pradesh,0.23736600306278713,0.08411214953271028,0.4060228452751817,0.5135520684736092,Plains,Low,0.0
Hyderabad,Telangana,0.8131699846860643,0.7165109034267914,0.6967808930425753,0.7118402282453637,Hilly/Highland,Low,0.0
Rangareddy,Telangana,0.8499234303215927,0.7336448598130841,0.6303219106957424,0.7560627674750358,Hilly/Highland,Low,0.0
Medchal Malkajgiri,Telangana,0.8805513016845329,0.7476635514018692,0.8982346832814122,0.4194008559201141,Hilly/Highland,Low,0.0
Sangareddy,Telangana,0.6952526799387443,0.5654205607476636,0.7995846313603323,0.0,Hilly/Highland,Low,0.0
Medak,Telangana,0.110260336906585,0.06853582554517133,0.22118380062305293,0.22824536376604848,Low Plains,Medium,0.24290220820189273
Nizamabad,Telangana,0.5742725880551302,0.5482866043613708,0.7372793354101765,0.579885877318117,Plateau,Low,0.0
Kamareddy,Telangana,0.9188361408882083,0.9034267912772586,0.9792315680166148,0.6005706134094151,Hilly/Highland,Low,0.0
Jagtial,Telangana,0.26646248085758045,0.16199376947040497,0.2751817237798546,0.5699001426533523,Plains,Low,0.0
Rajanna Sircilla,Telangana,0.669218989280245,0.6573208722741434,0.636552440290758,0.9429386590584878,Hilly/Highland,Low,0.0
Karimnagar,Telangana,0.48238897396630936,0.32398753894080995,0.6490134994807891,0.1312410841654779,Plateau,Low,0.0
Peddapalli,Telangana,0.6018376722817764,0.4937694704049844,0.5524402907580478,0.3930099857346648,Plateau,Low,0.0
Jayashankar Bhupalpally,Telangana,0.22970903522205208,0.17289719626168223,0.32502596053997923,0.47574893009985736,Plains,Low,0.0
Mulugu,Telangana,0.7274119448698315,0.6651090342679128,0.5991692627206646,0.2574893009985735,Hilly/Highland,Low,0.0
Bhadradri Kothagudem,Telangana,0.16079632465543645,0.006230529595015576,0.13707165109034267,0.8459343794579173,Plains,Medium,0.0
Khammam,Telangana,0.13782542113323124,0.0,0.17133956386292834,0.9857346647646219,Plains,Medium,0.05362776025236593
Nalgonda,Telangana,0.5436447166921898,0.4719626168224299,0.5015576323987538,0.8159771754636234,Plateau,Low,0.0
Suryapet,Telangana,0.15160796324655437,0.1059190031152648,0.23987538940809966,0.5684736091298146,Plains,Medium,0.0
Yadadri Bhuvanagiri,Telangana,0.886676875957121,0.838006230529595,0.90134994807892,0.06276747503566334,Hilly/Highland,Low,0.0
Mahabubnagar,Telangana,0.9724349157733537,0.942367601246106,0.6573208722741433,0.15049928673323823,Hilly/Highland,Low,0.0
Nagarkurnool,Telangana,1.0000000000000002,1.0,0.885773624091381,0.5085592011412268,Hilly/Highland,Low,0.0
Wanaparthy,Telangana,0.225114854517611,0.10747663551401869,0.14641744548286603,0.5763195435092725,Plains,Low,0.0
Gadwal,Telangana,0.43797856049004597,0.3894080996884735,0.33229491173416403,0.9058487874465051,Plateau,Low,0.0
Narayanpet,Telangana,0.9173047473200613,0.8348909657320872,0.956386292834891,0.41654778887303856,Hilly/Highland,Low,0.0
Vikarabad,Telangana,0.4517611026033691,0.40031152647975077,0.5379023883696781,0.5192582025677603,Plateau,Low,0.0
Siddipet,Telangana,0.9096477794793262,0.8255451713395638,0.956386292834891,0.27746077032810273,Hilly/Highland,Low,0.0
Jangaon,Telangana,0.19754977029096477,0.0763239875389408,0.20353063343717548,1.0,Plains,Medium,0.0
Warangal,Telangana,0.45482388973966315,0.4252336448598131,0.6625129802699896,0.06348074179743224,Plateau,Low,0.0
Hanamkonda,Telangana,0.34915773353751917,0.338006230529595,0.3613707165109034,0.37589158345221113,Plateau,Low,0.0
Mahabubabad,Telangana,0.13169984686064318,0.04205607476635514,0.23156801661474558,0.9251069900142654,Plains,Medium,0.0946372239747634
Nirmal,Telangana,0.552833078101072,0.42834890965732086,0.5410176531671859,0.4728958630527817,Plateau,Low,0.0
Adilabad,Telangana,0.34456355283307816,0.2585669781931464,0.43821391484942884,0.19828815977175465,Plateau,Low,0.0
Kumuram Bheem,Telangana,0.5283307810107197,0.40965732087227413,0.49428868120456904,0.7874465049928674,Plateau,Low,0.0
Mancherial,Telangana,0.9601837672281777,0.8177570093457944,0.897196261682243,0.8223965763195435,Hilly/Highland,Low,0.0
Asifabad,Telangana,0.3522205206738132,0.2757009345794392,0.5160955347871236,0.3181169757489301,Plateau,Low,0.0
