District,State,Soil_Type,Clay_Percent,Sand_Percent,Silt_Percent,Organic_Matter_Percent,Water_Retention_Capacity,Drainage_Speed,Waterlogging_Susceptibility,pH,Permeability_mm_per_hr,Flood_Absorption_Score
Bhadradri Kothagudem,Telangana,Deep Black,46.0,24.0,30.0,0.8,High,Slow,High,7.7,8.2,3.3
Nalgonda,Telangana,Red Sandy Loam,20.0,52.0,28.0,0.5,Low,Fast,Low,6.6,43.0,7.8
Suryapet,Telangana,Red Loamy,25.0,45.0,30.0,0.6,Medium,Moderate,Medium,6.8,33.0,6.6
Yadadri Bhuvanagiri,Telangana,Red Loamy,26.0,44.0,30.0,0.6,Medium,Moderate,Medium,6.8,31.0,6.3
Mahabubnagar,Telangana,Deep Black,50.0,20.0,30.0,0.7,High,Slow,High,7.9,6.5,2.7
Nagarkurnool,Telangana,Red Sandy Loam,19.0,53.0,28.0,0.5,Low,Fast,Low,6.6,46.0,8.3
Wanaparthy,Telangana,Medium Black,40.0,28.0,32.0,0.7,High,Slow,High,7.6,10.0,3.8
Gadwal,Telangana,Medium Black,42.0,26.0,32.0,0.6,High,Slow,High,7.7,9.5,3.6
Narayanpet,Telangana,Red Sandy Loam,20.0,52.0,28.0,0.5,Low,Fast,Low,6.6,44.0,8.0
Asifabad,Telangana,Red Sandy Loam,18.0,55.0,27.0,0.6,Low,Fast,Low,6.4,50.0,8.9
