Pincode,District,State,Region_Type
524002,Nellore,Andhra Pradesh,Rural
524003,Nellore,Andhra Pradesh,Semi-Urban
524004,Nellore,Andhra Pradesh,Rural
524005,Nellore,Andhra Pradesh,Rural
524006,Nellore,Andhra Pradesh,Semi-Urban
524007,Nellore,Andhra Pradesh,Semi-Urban
524008,Nellore,Andhra Pradesh,Urban
524009,Nellore,Andhra Pradesh,Rural
524010,Nellore,Andhra Pradesh,Rural
524011,Nellore,Andhra Pradesh,Urban
524012,Nellore,Andhra Pradesh,Semi-Urban
524013,Nellore,Andhra Pradesh,Semi-Urban
524014,Nellore,Andhra Pradesh,Urban
524015,Nellore,Andhra Pradesh,Rural
518001,Kurnool,Andhra Pradesh,Urban
518002,Kurnool,Andhra Pradesh,Urban
518003,Kurnool,Andhra Pradesh,Semi-Urban
518004,Kurnool,Andhra Pradesh,Rural
518005,Kurnool,Andhra Pradesh,Urban
518006,Kurnool,Andhra Pradesh,Rural
518007,Kurnool,Andhra Pradesh,Semi-Urban
518008,Kurnool,Andhra Pradesh,Urban
518009,Kurnool,Andhra Pradesh,Urban
518010,Kurnool,Andhra Pradesh,Semi-Urban
518011,Kurnool,Andhra Pradesh,Urban
518012,Kurnool,Andhra Pradesh,Rural
518013,Kurnool,Andhra Pradesh,Rural
518014,Kurnool,Andhra Pradesh,Rural
518015,Kurnool,Andhra Pradesh,Urban
516001,Kadapa,Andhra Pradesh,Rural
516002,Kadapa,Andhra Pradesh,Semi-Urban
516003,Kadapa,Andhra Pradesh,Semi-Urban
516004,Kadapa,Andhra Pradesh,Urban
516005,Kadapa,Andhra Pradesh,Urban
516006,Kadapa,Andhra Pradesh,Rural
516007,Kadapa,Andhra Pradesh,Semi-Urban
516008,Kadapa,Andhra Pradesh,Urban
516009,Kadapa,Andhra Pradesh,Rural
516010,Kadapa,Andhra Pradesh,Urban
516011,Kadapa,Andhra Pradesh,Semi-Urban
516012,Kadapa,Andhra Pradesh,Semi-Urban
516013,Kadapa,Andhra Pradesh,Rural
516014,Kadapa,Andhra Pradesh,Rural
516015,Kadapa,Andhra Pradesh,Semi-Urban
515001,Anantapur,Andhra Pradesh,Semi-Urban
515002,Anantapur,Andhra Pradesh,Semi-Urban
515003,Anantapur,Andhra Pradesh,Rural
515004,Anantapur,Andhra Pradesh,Semi-Urban
515005,Anantapur,Andhra Pradesh,Urban
515006,Anantapur,Andhra Pradesh,Urban
515007,Anantapur,Andhra Pradesh,Semi-Urban
515008,Anantapur,Andhra Pradesh,Semi-Urban
515009,Anantapur,Andhra Pradesh,Rural
515010,Anantapur,Andhra Pradesh,Urban
515011,Anantapur,Andhra Pradesh,Semi-Urban
515012,Anantapur,Andhra Pradesh,Rural
515013,Anantapur,Andhra Pradesh,Rural
515014,Anantapur,Andhra Pradesh,Semi-Urban
515015,Anantapur,Andhra Pradesh,Semi-Urban
517001,Chittoor,Andhra Pradesh,Semi-Urban
517002,Chittoor,Andhra Pradesh,Rural
517003,Chittoor,Andhra Pradesh,Urban
517004,Chittoor,Andhra Pradesh,Rural
517005,Chittoor,Andhra Pradesh,Rural
517006,Chittoor,Andhra Pradesh,Semi-Urban
517007,Chittoor,Andhra Pradesh,Urban
517008,Chittoor,Andhra Pradesh,Semi-Urban
517009,Chittoor,Andhra Pradesh,Semi-Urban
517010,Chittoor,Andhra Pradesh,Urban
517011,Chittoor,Andhra Pradesh,Rural
517012,Chittoor,Andhra Pradesh,Rural
517013,Chittoor,Andhra Pradesh,Semi-Urban
517014,Chittoor,Andhra Pradesh,Rural
517015,Chittoor,Andhra Pradesh,Urban
500001,Hyderabad,Telangana,Semi-Urban
500002,Hyderabad,Telangana,Urban
500003,Hyderabad,Telangana,Rural
500004,Hyderabad,Telangana,Rural
500005,Hyderabad,Telangana,Rural
500006,Hyderabad,Telangana,Urban
500007,Hyderabad,Telangana,Semi-Urban
500008,Hyderabad,Telangana,Semi-Urban
500009,Hyderabad,Telangana,Semi-Urban
500010,Hyderabad,Telangana,Rural
500011,Hyderabad,Telangana,Rural
500012,Hyderabad,Telangana,Rural
500013,Hyderabad,Telangana,Semi-Urban
500014,Hyderabad,Telangana,Urban
500015,Hyderabad,Telangana,Urban
500030,Rangareddy,Telangana,Semi-Urban
500031,Rangareddy,Telangana,Semi-Urban
500032,Rangareddy,Telangana,Rural
500033,Rangareddy,Telangana,Rural
500034,Rangareddy,Telangana,Urban
500035,Rangareddy,Telangana,Semi-Urban
500036,Rangareddy,Telangana,Urban
500037,Rangareddy,Telangana,Urban
500038,Rangareddy,Telangana,Rural
500039,Rangareddy,Telangana,Urban
500040,Rangareddy,Telangana,Semi-Urban
500041,Rangareddy,Telangana,Urban
500042,Rangareddy,Telangana,Rural
500043,Rangareddy,Telangana,Semi-Urban
500044,Rangareddy,Telangana,Urban
500087,Medchal Malkajgiri,Telangana,Semi-Urban
500088,Medchal Malkajgiri,Telangana,Rural
500089,Medchal Malkajgiri,Telangana,Rural
500090,Medchal Malkajgiri,Telangana,Urban
500091,Medchal Malkajgiri,Telangana,Rural
500092,Medchal Malkajgiri,Telangana,Rural
500093,Medchal Malkajgiri,Telangana,Rural
500094,Medchal Malkajgiri,Telangana,Rural
500095,Medchal Malkajgiri,Telangana,Rural
500096,Medchal Malkajgiri,Telangana,Semi-Urban
500097,Medchal Malkajgiri,Telangana,Rural
500098,Medchal Malkajgiri,Telangana,Semi-Urban
500099,Medchal Malkajgiri,Telangana,Rural
500100,Medchal Malkajgiri,Telangana,Semi-Urban
500101,Medchal Malkajgiri,Telangana,Rural
502001,Sangareddy,Telangana,Rural
502002,Sangareddy,Telangana,Urban
502003,Sangareddy,Telangana,Rural
502004,Sangareddy,Telangana,Semi-Urban
502005,Sangareddy,Telangana,Rural
502006,Sangareddy,Telangana,Semi-Urban
502007,Sangareddy,Telangana,Semi-Urban
502008,Sangareddy,Telangana,Rural
502009,Sangareddy,Telangana,Urban
502010,Sangareddy,Telangana,Rural
502011,Sangareddy,Telangana,Semi-Urban
502012,Sangareddy,Telangana,Semi-Urban
502013,Sangareddy,Telangana,Semi-Urban
502014,Sangareddy,Telangana,Semi-Urban
502015,Sangareddy,Telangana,Semi-Urban
503001,Nizamabad,Telangana,Urban
503002,Nizamabad,Telangana,Urban
503003,Nizamabad,Telangana,Urban
503004,Nizamabad,Telangana,Rural
503005,Nizamabad,Telangana,Rural
503006,Nizamabad,Telangana,Semi-Urban
503007,Nizamabad,Telangana,Rural
503008,Nizamabad,Telangana,Semi-Urban
503009,Nizamabad,Telangana,Rural
503010,Nizamabad,Telangana,Rural
503011,Nizamabad,Telangana,Rural
503012,Nizamabad,Telangana,Semi-Urban
503013,Nizamabad,Telangana,Rural
503014,Nizamabad,Telangana,Urban
503015,Nizamabad,Telangana,Rural
505001,Karimnagar,Telangana,Urban
505002,Karimnagar,Telangana,Rural
505003,Karimnagar,Telangana,Rural
505004,Karimnagar,Telangana,Rural
505005,Karimnagar,Telangana,Urban
505006,Karimnagar,Telangana,Rural
505007,Karimnagar,Telangana,Urban
505008,Karimnagar,Telangana,Rural
505009,Karimnagar,Telangana,Urban
505010,Karimnagar,Telangana,Semi-Urban
505011,Karimnagar,Telangana,Semi-Urban
505012,Karimnagar,Telangana,Semi-Urban
505013,Karimnagar,Telangana,Urban
505014,Karimnagar,Telangana,Urban
505015,Karimnagar,Telangana,Semi-Urban
507001,Khammam,Telangana,Rural
507002,Khammam,Telangana,Rural
507003,Khammam,Telangana,Urban
507004,Khammam,Telangana,Semi-Urban
507005,Khammam,Telangana,Urban
507006,Khammam,Telangana,Urban
507007,Khammam,Telangana,Rural
507008,Khammam,Telangana,Rural
507009,Khammam,Telangana,Urban
507010,Khammam,Telangana,Urban
507011,Khammam,Telangana,Urban
507012,Khammam,Telangana,Rural
507013,Khammam,Telangana,Rural
507014,Khammam,Telangana,Urban
507015,Khammam,Telangana,Urban
506001,Warangal,Telangana,Rural
506002,Warangal,Telangana,Rural
506003,Warangal,Telangana,Semi-Urban
506004,Warangal,Telangana,Urban
506005,Warangal,Telangana,Urban
506006,Warangal,Telangana,Semi-Urban
506007,Warangal,Telangana,Semi-Urban
506008,Warangal,Telangana,Urban
506009,Warangal,Telangana,Semi-Urban
506010,Warangal,Telangana,Urban
506011,Warangal,Telangana,Rural
506012,Warangal,Telangana,Semi-Urban
506013,Warangal,Telangana,Urban
506014,Warangal,Telangana,Semi-Urban
506015,Warangal,Telangana,Semi-Urban
508001,Nalgonda,Telangana,Rural
508002,Nalgonda,Telangana,Semi-Urban
508003,Nalgonda,Telangana,Urban
508004,Nalgonda,Telangana,Rural
508005,Nalgonda,Telangana,Urban
508006,Nalgonda,Telangana,Rural
508007,Nalgonda,Telangana,Semi-Urban
508008,Nalgonda,Telangana,Semi-Urban
508009,Nalgonda,Telangana,Urban
508010,Nalgonda,Telangana,Semi-Urban
508011,Nalgonda,Telangana,Rural
508012,Nalgonda,Telangana,Rural
508013,Nalgonda,Telangana,Urban
508014,Nalgonda,Telangana,Urban
508015,Nalgonda,Telangana,Rural
509001,Mahabubnagar,Telangana,Rural
509002,Mahabubnagar,Telangana,Urban
509003,Mahabubnagar,Telangana,Semi-Urban
509004,Mahabubnagar,Telangana,Semi-Urban
509005,Mahabubnagar,Telangana,Rural
509006,Mahabubnagar,Telangana,Urban
509007,Mahabubnagar,Telangana,Urban
509008,Mahabubnagar,Telangana,Rural
509009,Mahabubnagar,Telangana,Urban
509010,Mahabubnagar,Telangana,Semi-Urban
509011,Mahabubnagar,Telangana,Semi-Urban
509012,Mahabubnagar,Telangana,Semi-Urban
509013,Mahabubnagar,Telangana,Semi-Urban
509014,Mahabubnagar,Telangana,Semi-Urban
509015,Mahabubnagar,Telangana,Urban
504001,Adilabad,Telangana,Semi-Urban
504002,Adilabad,Telangana,Rural
504003,Adilabad,Telangana,Rural
504004,Adilabad,Telangana,Urban
504005,Adilabad,Telangana,Urban
504006,Adilabad,Telangana,Urban
504007,Adilabad,Telangana,Semi-Urban
504008,Adilabad,Telangana,Semi-Urban
504009,Adilabad,Telangana,Rural
504010,Adilabad,Telangana,Urban
504011,Adilabad,Telangana,Urban
504012,Adilabad,Telangana,Semi-Urban
504013,Adilabad,Telangana,Rural
504014,Adilabad,Telangana,Urban
504015,Adilabad,Telangana,Rural
