District,State,Population_2011,Population_Density_per_sqkm,Area_sqkm,Urban_Population_Percent,Rural_Population_Percent,Population_Growth_Rate,Vulnerable_Population_Percent,Flood_Exposure_Index
Sri Sathya Sai,Andhra Pradesh,0.006145547865067014,0.004827773257390831,0.7361028684470821,0.896774193548387,0.10322580645161292,0.31612903225806466,0.24596774193548387,0.07227615965480043
Tirupati,Andhra Pradesh,0.028891145473054214,0.02088418768646596,0.9499505440158258,0.3638709677419355,0.6361290322580644,0.29032258064516137,0.157258064516129,0.19093851132686085
Hyderabad,Telangana,1.0,1.0,0.6909990108803165,0.8683870967741936,0.13161290322580643,0.08387096774193548,0.7056451612903226,1.0
Rangareddy,Telangana,0.029611319582342845,0.03569297531868728,0.5349159248269041,0.11354838709677417,0.8864516129032258,0.16129032258064524,0.5403225806451614,0.5587918015102482
Medchal Malkajgiri,Telangana,0.050307200567292966,0.06265256305939787,0.5179030662710188,0.37548387096774194,0.6245161290322581,0.4580645161290323,0.6895161290322581,0.7971952535059331
Sangareddy,Telangana,0.007384284612525877,0.012205044751830756,0.3566765578635015,0.23870967741935478,0.7612903225806451,0.3290322580645162,0.5483870967741936,0.3290183387270766
Medak,Telangana,0.03105765015029425,0.03482506102522376,0.5841740850642928,0.32387096774193547,0.6761290322580644,0.7096774193548386,0.6895161290322581,0.5242718446601942
Nizamabad,Telangana,0.021600449993579365,0.03298074315161378,0.39545004945598417,0.9574193548387095,0.042580645161290315,1.0,0.3911290322580645,0.3290183387270766
Kamareddy,Telangana,0.004415905825176054,0.005098996474098182,0.5084075173095944,0.16258064516129028,0.8374193548387097,0.32258064516129037,0.3467741935483871,0.1747572815533981
Jagtial,Telangana,0.04535425609019539,0.03525901817195552,0.8987141444114737,0.7096774193548387,0.2903225806451613,1.0,0.4193548387096775,0.5339805825242718
Rajanna Sircilla,Telangana,0.031347561098174964,0.028315703824247352,0.7497527200791295,0.7225806451612904,0.27741935483870966,0.34838709677419366,0.6975806451612904,0.39374325782092773
Karimnagar,Telangana,0.015305620471393012,0.03135340385136968,0.26350148367952525,0.09677419354838707,0.903225806451613,0.38064516129032266,0.45967741935483875,0.43581445523193096
Peddapalli,Telangana,0.01431441444940648,0.03449959316517494,0.2045499505440158,0.29935483870967744,0.7006451612903226,0.7419354838709679,0.41129032258064513,0.3063646170442287
Jayashankar Bhupalpally,Telangana,0.01073596197009168,0.008462164361269323,0.7960435212660731,0.8864516129032258,0.11354838709677417,0.4903225806451613,0.0,0.09492988133764833
Mulugu,Telangana,0.0023072221289395533,0.0005424464334147002,0.9273986152324432,0.3070967741935484,0.6929032258064516,0.0,0.18145161290322576,0.2599784250269688
Bhadradri Kothagudem,Telangana,0.0232627118878879,0.02321670735014917,0.6621167161226509,0.23354838709677417,0.7664516129032257,0.6000000000000001,0.8669354838709676,0.18122977346278318
Khammam,Telangana,0.018928153419780422,0.0188228912394901,0.6583580613254204,0.6348387096774194,0.36516129032258066,0.09677419354838712,0.29032258064516125,0.18446601941747576
Nalgonda,Telangana,0.01997540460958785,0.02446433414700298,0.5198813056379822,0.35612903225806447,0.6438709677419354,0.7354838709677421,0.44354838709677413,0.21467098166127296
Suryapet,Telangana,0.012763172365062254,0.026579875237320312,0.2585558852621167,0.9741935483870969,0.02580645161290321,0.5935483870967743,0.8145161290322579,0.2351672060409925
Yadadri Bhuvanagiri,Telangana,0.024547405672959897,0.01741253051261188,0.9576656775469832,0.3548387096774194,0.6451612903225807,0.15483870967741942,0.9435483870967744,0.43149946062567435
Mahabubnagar,Telangana,0.005026936693040893,0.008841876864659613,0.3327398615232443,0.20645161290322578,0.7935483870967741,0.5096774193548388,0.10080645161290325,0.09277238403451997
Nagarkurnool,Telangana,0.01223734274670491,0.012964469758611336,0.5996043521266073,0.7612903225806452,0.23870967741935484,0.8322580645161292,0.9637096774193549,0.3376483279395901
Wanaparthy,Telangana,0.0005798974622798388,0.008624898291293733,0.0,0.9251612903225805,0.07483870967741932,0.40645161290322585,0.5241935483870968,0.31067961165048547
Gadwal,Telangana,0.0032035669814818204,0.0040683482506102524,0.45558852621167156,0.8735483870967742,0.12645161290322576,0.7096774193548386,0.9556451612903226,0.1197411003236246
Narayanpet,Telangana,0.00352082041460729,0.003525901817195552,0.5568743818001978,0.512258064516129,0.48774193548387096,0.10322580645161289,0.8104838709677419,0.0
Vikarabad,Telangana,0.0,0.002224030377000271,0.11394658753709197,0.33677419354838706,0.663225806451613,0.9483870967741937,0.8024193548387096,0.2491909385113269
Siddipet,Telangana,0.0033158210445801656,0.012367778681855165,0.11691394658753712,0.3974193548387097,0.6025806451612903,0.03225806451612906,0.6572580645161291,0.18662351672060412
Jangaon,Telangana,0.011930253010305612,0.007702739354488742,0.9679525222551928,0.9690322580645161,0.030967741935483878,0.7741935483870969,0.7056451612903226,0.06688241639697952
Warangal,Telangana,0.029754367001693344,0.028749660970979113,0.6935707220573689,0.8516129032258064,0.14838709677419354,0.367741935483871,0.5000000000000001,0.5533980582524273
Hanamkonda,Telangana,0.017218083108157704,0.028261459180905883,0.35924826904055396,0.6335483870967742,0.36645161290322575,0.006451612903225823,0.5806451612903226,0.4735706580366775
Mahabubabad,Telangana,0.0054578673586947665,0.025006780580417682,0.05578635014836797,0.24387096774193545,0.7561290322580645,0.05806451612903224,0.435483870967742,0.38187702265372164
Nirmal,Telangana,0.0017895914778297156,0.005424464334147002,0.19624134520276953,0.23612903225806448,0.7638709677419355,0.9419354838709678,0.9032258064516129,0.3063646170442287
Adilabad,Telangana,0.010020800439857591,0.009167344724708433,0.685459940652819,0.8180645161290322,0.18193548387096775,0.5419354838709679,0.6895161290322581,0.1963322545846818
Kumuram Bheem,Telangana,0.0013795801433557305,0.0010848928668294004,0.5359050445103858,0.8683870967741936,0.13161290322580643,0.9290322580645164,0.16129032258064513,0.17152103559870552
Mancherial,Telangana,0.0025124104152627036,0.007431516137781393,0.18615232443125618,0.8064516129032259,0.1935483870967742,0.37419354838709673,0.5443548387096774,0.10140237324703343
Asifabad,Telangana,0.000249923665221986,0.0018985625169514503,0.18358061325420377,0.9070967741935485,0.0929032258064516,0.2129032258064516,0.41129032258064513,0.1521035598705502
