Annual_Rainfall_mm_x,Flood_Occurred,Waterlogging_Occurred,Waterlogging_Days,Urban_Inundation_Hours,Roads_Blocked_Count,Drainage_Overflow,Flash_Flood,Flood_Severity_Enc,Waterlogging_Severity_Enc,Annual_Rainfall_mm_y,Monsoon_Rainfall_mm,Monsoon_Percent,Rainfall_Category_Enc,Flood_Risk_Enc,Clay_Percent,Sand_Percent,Silt_Percent,Organic_Matter_Percent,pH,Permeability_mm_per_hr,Flood_Absorption_Score,Soil_Type_Enc,Water_Retention_Capacity_Enc,Drainage_Speed_Enc,Waterlogging_Susceptibility_Enc,Mean_Elevation_m,Min_Elevation_m,Elevation_Std_Dev,Inundation_Depth_Potential_m,Terrain_Type_Enc,Flood_Risk_Elevation_Enc,Urban_Percent,Waterbody_Percent,Impervious_Surface_Percent,Runoff_Potential_Enc,Urban_Heat_Island_Risk_Enc,Drainage_Capacity_Percent,Drain_Coverage_Percent,Blocked_Drains_Percent,Overflow_Threshold_mm_per_hr,Pump_Stations,Drainage_Quality_Enc,Waterlogging_Risk_Enc,Drainage_Type_Enc,Mean_Slope_Degrees,Runoff_Coefficient,Impervious_Runoff_mm_per_100mm_rain,Time_to_Peak_Flow_hrs,Curve_Number,Slope_Category_Enc,Waterlogging_Potential_Enc,Flow_Speed_Enc,Flood_Threshold_Daily_mm,Waterlogging_Threshold_mm,Alert_Level_1_mm,Alert_Level_2_mm,Alert_Level_3_mm,Emergency_Level_mm,Base_Flood_Risk_Enc,IMD_Category_Enc,Number_of_Major_Rivers,Distance_to_Nearest_River_km,Number_of_Waterbodies,Flood_Plain_Area_sqkm,Flood_Risk_River_Enc,Breach_History_Enc,Reservoir_Enc,Population_Density_per_sqkm,Urban_Population_Percent,Vulnerable_Population_Percent,Flood_Exposure_Index,Avg_Soil_Moisture,Max_Soil_Moisture,Avg_Excess_Water,Max_Saturation_Enc,Max_Waterlogging_Risk_Enc
1035.4,0,0,0,0,0,0,0,2.0,3.0,1107.2,984.5,88.9,2,0,32.5,39.0,31.1,1.2,7.7,29.1,2.7,0,0,2,1,549,500,115.1,0.0,4,0,15.3,2.8,11.5,1,0,39.3,57.6,53.3,53.7,16,2,1,0,5.25,0.53,53.0,7.4,79,2,2,2,63.0,37.8,31.5,47.2,63.0,94.5,2,0,1,16.7,28,149.7,1,0,0,619,50.1,28.0,5.29,49.89166666666667,77.4,2.7083333333333335,3,2
1601.5,1,1,18,4,59,1,0,2.0,2.0,1833.3,1603.9,87.5,4,2,32.5,39.0,31.1,1.2,7.7,29.1,2.7,0,0,2,1,549,500,115.1,0.0,4,0,15.3,2.8,11.5,1,0,39.3,57.6,53.3,53.7,16,2,1,0,5.25,0.53,53.0,7.4,79,2,2,2,63.0,37.8,31.5,47.2,63.0,94.5,2,0,1,16.7,28,149.7,1,0,0,619,50.1,28.0,5.29,49.89166666666667,77.4,2.7083333333333335,3,2
626.2,0,0,0,0,0,0,0,2.0,3.0,736.9,669.0,90.8,1,0,32.5,39.0,31.1,1.2,7.7,29.1,2.7,0,0,2,1,549,500,115.1,0.0,4,0,15.3,2.8,11.5,1,0,39.3,57.6,53.3,53.7,16,2,1,0,5.25,0.53,53.0,7.4,79,2,2,2,63.0,37.8,31.5,47.2,63.0,94.5,2,0,1,16.7,28,149.7,1,0,0,619,50.1,28.0,5.29,49.89166666666667,77.4,2.7083333333333335,3,2
1160.0,1,1,2,60,70,1,0,1.0,1.0,1314.1,1135.2,86.4,3,1,32.5,39.0,31.1,1.2,7.7,29.1,2.7,0,0,2,1,549,500,115.1,0.0,4,0,15.3,2.8,11.5,1,0,39.3,57.6,53.3,53.7,16,2,1,0,5.25,0.53,53.0,7.4,79,2,2,2,63.0,37.8,31.5,47.2,63.0,94.5,2,0,1,16.7,28,149.7,1,0,0,619,50.1,28.0,5.29,49.89166666666667,77.4,2.7083333333333335,3,2
2502.4,1,1,35,36,49,1,1,3.0,4.0,2314.3,1993.4,86.1,4,3,32.5,39.0,31.1,1.2,7.7,29.1,2.7,0,0,2,1,549,500,115.1,0.0,4,0,15.3,2.8,11.5,1,0,39.3,57.6,53.3,53.7,16,2,1,0,5.25,0.53,53.0,7.4,79,2,2,2,63.0,37.8,31.5,47.2,63.0,94.5,2,0,1,16.7,28,149.7,1,0,0,619,50.1,28.0,5.29,49.89166666666667,77.4,2.7083333333333335,3,2
1010.5,0,0,0,0,0,0,0,2.0,3.0,943.0,785.7,83.3,2,0,32.5,39.0,31.1,1.2,7.7,29.1,2.7,0,0,2,1,549,500,115.1,0.0,4,0,15.3,2.8,11.5,1,0,39.3,57.6,53.3,53.7,16,2,1,0,5.25,0.53,53.0,7.4,79,2,2,2,63.0,37.8,31.5,47.2,63.0,94.5,2,0,1,16.7,28,149.7,1,0,0,619,50.1,28.0,5.29,49.89166666666667,77.4,2.7083333333333335,3,2
373.8,0,0,0,0,0,0,0,2.0,3.0,403.4,338.0,83.8,0,0,32.5,39.0,31.1,1.2,7.7,29.1,2.7,0,0,2,1,549,500,115.1,0.0,4,0,15.3,2.8,11.5,1,0,39.3,57.6,53.3,53.7,16,2,1,0,5.25,0.53,53.0,7.4,79,2,2,2,63.0,37.8,31.5,47.2,63.0,94.5,2,0,1,16.7,28,149.7,1,0,0,619,50.1,28.0,5.29,49.89166666666667,77.4,2.7083333333333335,3,2
1432.2,1,1,29,63,17,1,0,1.0,3.0,1633.2,1416.6,86.7,3,2,32.5,39.0,31.1,1.2,7.7,29.1,2.7,0,0,2,1,549,500,115.1,0.0,4,0,15.3,2.8,11.5,1,0,39.3,57.6,53.3,53.7,16,2,1,0,5.25,0.53,53.0,7.4,79,2,2,2,63.0,37.8,31.5,47.2,63.0,94.5,2,0,1,16.7,28,149.7,1,0,0,619,50.1,28.0,5.29,49.89166666666667,77.4,2.7083333333333335,3,2
1089.8,0,0,0,0,0,0,0,2.0,3.0,999.5,865.0,86.5,2,0,32.5,39.0,31.1,1.2,7.7,29.1,2.7,0,0,2,1,549,500,115.1,0.0,4,0,15.3,2.8,11.5,1,0,39.3,57.6,53.3,53.7,16,2,1,0,5.25,0.53,53.0,7.4,79,2,2,2,63.0,37.8,31.5,47.2,63.0,94.5,2,0,1,16.7,28,149.7,1,0,0,619,50.1,28.0,5.29,49.89166666666667,77.4,2.7083333333333335,3,2
1834.8,1,1,14,48,14,0,0,2.0,2.0,1461.2,1282.4,87.8,3,2,32.5,39.0,31.1,1.2,7.7,29.1,2.7,0,0,2,1,549,500,115.1,0.0,4,0,15.3,2.8,11.5,1,0,39.3,57.6,53.3,53.7,16,2,1,0,5.25,0.53,53.0,7.4,79,2,2,2,63.0,37.8,31.5,47.2,63.0,94.5,2,0,1,16.7,28,149.7,1,0,0,619,50.1,28.0,5.29,49.89166666666667,77.4,2.7083333333333335,3,2
1607.7,1,1,40,53,23,1,0,2.0,4.0,1633.5,1418.1,86.8,3,2,36.0,41.3,22.7,1.0,7.8,17.0,8.2,4,1,0,2,35,1,32.0,2.17,1,2,18.7,6.7,14.0,1,0,65.6,68.5,14.5,37.8,17,3,0,3,2.6,0.72,72.0,2.8,63,1,3,1,75.9,45.5,38.0,56.9,75.9,113.9,2,1,1,16.4,9,136.5,1,2,0,692,39.8,29.8,5.24,14.033333333333333,26.2,0.0,1,0
655.8,0,0,0,0,0,0,0,2.0,3.0,851.5,745.2,87.5,1,0,36.0,41.3,22.7,1.0,7.8,17.0,8.2,4,1,0,2,35,1,32.0,2.17,1,2,18.7,6.7,14.0,1,0,65.6,68.5,14.5,37.8,17,3,0,3,2.6,0.72,72.0,2.8,63,1,3,1,75.9,45.5,38.0,56.9,75.9,113.9,2,1,1,16.4,9,136.5,1,2,0,692,39.8,29.8,5.24,14.033333333333333,26.2,0.0,1,0
1452.2,1,1,41,29,14,0,0,1.0,4.0,1718.7,1475.7,85.9,3,2,36.0,41.3,22.7,1.0,7.8,17.0,8.2,4,1,0,2,35,1,32.0,2.17,1,2,18.7,6.7,14.0,1,0,65.6,68.5,14.5,37.8,17,3,0,3,2.6,0.72,72.0,2.8,63,1,3,1,75.9,45.5,38.0,56.9,75.9,113.9,2,1,1,16.4,9,136.5,1,2,0,692,39.8,29.8,5.24,14.033333333333333,26.2,0.0,1,0
2082.6,1,1,9,1,7,0,1,3.0,2.0,2843.5,2433.5,85.6,4,3,36.0,41.3,22.7,1.0,7.8,17.0,8.2,4,1,0,2,35,1,32.0,2.17,1,2,18.7,6.7,14.0,1,0,65.6,68.5,14.5,37.8,17,3,0,3,2.6,0.72,72.0,2.8,63,1,3,1,75.9,45.5,38.0,56.9,75.9,113.9,2,1,1,16.4,9,136.5,1,2,0,692,39.8,29.8,5.24,14.033333333333333,26.2,0.0,1,0
1222.6,0,0,0,0,0,0,0,2.0,3.0,938.3,802.7,85.5,2,0,36.0,41.3,22.7,1.0,7.8,17.0,8.2,4,1,0,2,35,1,32.0,2.17,1,2,18.7,6.7,14.0,1,0,65.6,68.5,14.5,37.8,17,3,0,3,2.6,0.72,72.0,2.8,63,1,3,1,75.9,45.5,38.0,56.9,75.9,113.9,2,1,1,16.4,9,136.5,1,2,0,692,39.8,29.8,5.24,14.033333333333333,26.2,0.0,1,0
473.9,0,0,0,0,0,0,0,2.0,3.0,418.6,382.3,91.3,0,0,36.0,41.3,22.7,1.0,7.8,17.0,8.2,4,1,0,2,35,1,32.0,2.17,1,2,18.7,6.7,14.0,1,0,65.6,68.5,14.5,37.8,17,3,0,3,2.6,0.72,72.0,2.8,63,1,3,1,75.9,45.5,38.0,56.9,75.9,113.9,2,1,1,16.4,9,136.5,1,2,0,692,39.8,29.8,5.24,14.033333333333333,26.2,0.0,1,0
1631.5,1,1,33,5,40,1,0,1.0,3.0,1674.0,1449.7,86.6,3,2,36.0,41.3,22.7,1.0,7.8,17.0,8.2,4,1,0,2,35,1,32.0,2.17,1,2,18.7,6.7,14.0,1,0,65.6,68.5,14.5,37.8,17,3,0,3,2.6,0.72,72.0,2.8,63,1,3,1,75.9,45.5,38.0,56.9,75.9,113.9,2,1,1,16.4,9,136.5,1,2,0,692,39.8,29.8,5.24,14.033333333333333,26.2,0.0,1,0
1173.0,0,0,0,0,0,0,0,2.0,3.0,1045.2,911.3,87.2,2,0,36.0,41.3,22.7,1.0,7.8,17.0,8.2,4,1,0,2,35,1,32.0,2.17,1,2,18.7,6.7,14.0,1,0,65.6,68.5,14.5,37.8,17,3,0,3,2.6,0.72,72.0,2.8,63,1,3,1,75.9,45.5,38.0,56.9,75.9,113.9,2,1,1,16.4,9,136.5,1,2,0,692,39.8,29.8,5.24,14.033333333333333,26.2,0.0,1,0
1753.4,1,1,33,48,22,1,0,2.0,3.0,2002.2,1746.7,87.2,4,2,36.0,41.3,22.7,1.0,7.8,17.0,8.2,4,1,0,2,35,1,32.0,2.17,1,2,18.7,6.7,14.0,1,0,65.6,68.5,14.5,37.8,17,3,0,3,2.6,0.72,72.0,2.8,63,1,3,1,75.9,45.5,38.0,56.9,75.9,113.9,2,1,1,16.4,9,136.5,1,2,0,692,39.8,29.8,5.24,14.033333333333333,26.2,0.0,1,0
766.5,0,0,0,0,0,0,0,2.0,3.0,850.8,763.6,89.8,1,0,36.0,41.3,22.7,1.0,7.8,17.0,8.2,4,1,0,2,35,1,32.0,2.17,1,2,18.7,6.7,14.0,1,0,65.6,68.5,14.5,37.8,17,3,0,3,2.6,0.72,72.0,2.8,63,1,3,1,75.9,45.5,38.0,56.9,75.9,113.9,2,1,1,16.4,9,136.5,1,2,0,692,39.8,29.8,5.24,14.033333333333333,26.2,0.0,1,0
777.4,0,0,0,0,0,0,0,2.0,3.0,618.8,502.8,81.3,1,0,54.2,8.3,25.2,1.8,7.4,39.9,5.1,1,3,3,0,18,3,56.8,2.73,0,2,14.4,10.4,10.8,0,0,51.0,19.9,23.8,39.0,23,2,1,0,0.2,0.81,81.0,7.0,74,0,4,0,60.0,36.0,30.0,45.0,60.0,90.0,2,0,1,19.9,42,27.3,0,2,0,330,63.0,27.5,4.58,55.275,82.6,9.458333333333334,3,2
1418.9,1,1,35,65,46,1,0,1.0,4.0,1780.3,1497.7,84.1,3,2,54.2,8.3,25.2,1.8,7.4,39.9,5.1,1,3,3,0,18,3,56.8,2.73,0,2,14.4,10.4,10.8,0,0,51.0,19.9,23.8,39.0,23,2,1,0,0.2,0.81,81.0,7.0,74,0,4,0,60.0,36.0,30.0,45.0,60.0,90.0,2,0,1,19.9,42,27.3,0,2,0,330,63.0,27.5,4.58,55.275,82.6,9.458333333333334,3,2
2799.1,1,1,26,14,26,1,1,3.0,3.0,2270.1,1980.7,87.3,4,3,54.2,8.3,25.2,1.8,7.4,39.9,5.1,1,3,3,0,18,3,56.8,2.73,0,2,14.4,10.4,10.8,0,0,51.0,19.9,23.8,39.0,23,2,1,0,0.2,0.81,81.0,7.0,74,0,4,0,60.0,36.0,30.0,45.0,60.0,90.0,2,0,1,19.9,42,27.3,0,2,0,330,63.0,27.5,4.58,55.275,82.6,9.458333333333334,3,2
1182.6,0,0,0,0,0,0,0,2.0,3.0,1029.2,892.0,86.7,2,0,54.2,8.3,25.2,1.8,7.4,39.9,5.1,1,3,3,0,18,3,56.8,2.73,0,2,14.4,10.4,10.8,0,0,51.0,19.9,23.8,39.0,23,2,1,0,0.2,0.81,81.0,7.0,74,0,4,0,60.0,36.0,30.0,45.0,60.0,90.0,2,0,1,19.9,42,27.3,0,2,0,330,63.0,27.5,4.58,55.275,82.6,9.458333333333334,3,2
249.2,0,0,0,0,0,0,0,2.0,3.0,577.5,529.7,91.7,0,0,54.2,8.3,25.2,1.8,7.4,39.9,5.1,1,3,3,0,18,3,56.8,2.73,0,2,14.4,10.4,10.8,0,0,51.0,19.9,23.8,39.0,23,2,1,0,0.2,0.81,81.0,7.0,74,0,4,0,60.0,36.0,30.0,45.0,60.0,90.0,2,0,1,19.9,42,27.3,0,2,0,330,63.0,27.5,4.58,55.275,82.6,9.458333333333334,3,2
1478.8,1,1,32,52,3,1,0,1.0,3.0,1598.0,1372.6,85.9,3,2,54.2,8.3,25.2,1.8,7.4,39.9,5.1,1,3,3,0,18,3,56.8,2.73,0,2,14.4,10.4,10.8,0,0,51.0,19.9,23.8,39.0,23,2,1,0,0.2,0.81,81.0,7.0,74,0,4,0,60.0,36.0,30.0,45.0,60.0,90.0,2,0,1,19.9,42,27.3,0,2,0,330,63.0,27.5,4.58,55.275,82.6,9.458333333333334,3,2
1079.8,0,0,0,0,0,0,0,2.0,3.0,1331.8,1214.3,91.2,2,1,54.2,8.3,25.2,1.8,7.4,39.9,5.1,1,3,3,0,18,3,56.8,2.73,0,2,14.4,10.4,10.8,0,0,51.0,19.9,23.8,39.0,23,2,1,0,0.2,0.81,81.0,7.0,74,0,4,0,60.0,36.0,30.0,45.0,60.0,90.0,2,0,1,19.9,42,27.3,0,2,0,330,63.0,27.5,4.58,55.275,82.6,9.458333333333334,3,2
1806.2,1,1,43,29,35,1,0,2.0,4.0,1735.7,1533.4,88.3,3,2,54.2,8.3,25.2,1.8,7.4,39.9,5.1,1,3,3,0,18,3,56.8,2.73,0,2,14.4,10.4,10.8,0,0,51.0,19.9,23.8,39.0,23,2,1,0,0.2,0.81,81.0,7.0,74,0,4,0,60.0,36.0,30.0,45.0,60.0,90.0,2,0,1,19.9,42,27.3,0,2,0,330,63.0,27.5,4.58,55.275,82.6,9.458333333333334,3,2
779.7,0,0,0,0,0,0,0,2.0,3.0,765.6,660.0,86.2,1,0,54.2,8.3,25.2,1.8,7.4,39.9,5.1,1,3,3,0,18,3,56.8,2.73,0,2,14.4,10.4,10.8,0,0,51.0,19.9,23.8,39.0,23,2,1,0,0.2,0.81,81.0,7.0,74,0,4,0,60.0,36.0,30.0,45.0,60.0,90.0,2,0,1,19.9,42,27.3,0,2,0,330,63.0,27.5,4.58,55.275,82.6,9.458333333333334,3,2
1570.1,1,1,28,66,41,1,0,1.0,3.0,1457.5,1269.9,87.1,3,1,54.2,8.3,25.2,1.8,7.4,39.9,5.1,1,3,3,0,18,3,56.8,2.73,0,2,14.4,10.4,10.8,0,0,51.0,19.9,23.8,39.0,23,2,1,0,0.2,0.81,81.0,7.0,74,0,4,0,60.0,36.0,30.0,45.0,60.0,90.0,2,0,1,19.9,42,27.3,0,2,0,330,63.0,27.5,4.58,55.275,82.6,9.458333333333334,3,2
1354.5,1,1,6,28,27,1,0,1.0,1.0,1431.3,1229.5,85.9,3,2,57.1,12.8,26.8,1.8,8.0,34.7,3.3,1,3,3,0,12,1,130.8,2.93,0,3,18.4,12.9,13.8,1,0,63.5,18.7,9.0,38.4,22,3,0,3,0.95,0.92,92.0,9.4,78,0,4,0,55.0,33.0,27.5,41.2,55.0,82.5,2,0,1,22.9,15,224.9,0,1,1,438,50.9,21.7,4.76,65.35000000000001,94.9,18.583333333333332,4,3
2196.1,1,1,11,62,0,1,1,3.0,2.0,2095.1,1831.4,87.4,4,3,57.1,12.8,26.8,1.8,8.0,34.7,3.3,1,3,3,0,12,1,130.8,2.93,0,3,18.4,12.9,13.8,1,0,63.5,18.7,9.0,38.4,22,3,0,3,0.95,0.92,92.0,9.4,78,0,4,0,55.0,33.0,27.5,41.2,55.0,82.5,2,0,1,22.9,15,224.9,0,1,1,438,50.9,21.7,4.76,65.35000000000001,94.9,18.583333333333332,4,3
1034.7,0,0,0,0,0,0,0,2.0,3.0,986.3,842.4,85.4,2,0,57.1,12.8,26.8,1.8,8.0,34.7,3.3,1,3,3,0,12,1,130.8,2.93,0,3,18.4,12.9,13.8,1,0,63.5,18.7,9.0,38.4,22,3,0,3,0.95,0.92,92.0,9.4,78,0,4,0,55.0,33.0,27.5,41.2,55.0,82.5,2,0,1,22.9,15,224.9,0,1,1,438,50.9,21.7,4.76,65.35000000000001,94.9,18.583333333333332,4,3
467.7,0,0,0,0,0,0,0,2.0,3.0,495.3,481.6,97.2,0,0,57.1,12.8,26.8,1.8,8.0,34.7,3.3,1,3,3,0,12,1,130.8,2.93,0,3,18.4,12.9,13.8,1,0,63.5,18.7,9.0,38.4,22,3,0,3,0.95,0.92,92.0,9.4,78,0,4,0,55.0,33.0,27.5,41.2,55.0,82.5,2,0,1,22.9,15,224.9,0,1,1,438,50.9,21.7,4.76,65.35000000000001,94.9,18.583333333333332,4,3
1531.1,1,1,39,70,71,1,0,1.0,4.0,1376.7,1201.2,87.3,3,2,57.1,12.8,26.8,1.8,8.0,34.7,3.3,1,3,3,0,12,1,130.8,2.93,0,3,18.4,12.9,13.8,1,0,63.5,18.7,9.0,38.4,22,3,0,3,0.95,0.92,92.0,9.4,78,0,4,0,55.0,33.0,27.5,41.2,55.0,82.5,2,0,1,22.9,15,224.9,0,1,1,438,50.9,21.7,4.76,65.35000000000001,94.9,18.583333333333332,4,3
994.3,0,0,0,0,0,0,0,2.0,3.0,1009.9,905.7,89.7,2,0,57.1,12.8,26.8,1.8,8.0,34.7,3.3,1,3,3,0,12,1,130.8,2.93,0,3,18.4,12.9,13.8,1,0,63.5,18.7,9.0,38.4,22,3,0,3,0.95,0.92,92.0,9.4,78,0,4,0,55.0,33.0,27.5,41.2,55.0,82.5,2,0,1,22.9,15,224.9,0,1,1,438,50.9,21.7,4.76,65.35000000000001,94.9,18.583333333333332,4,3
1728.5,1,1,42,44,23,1,0,2.0,4.0,1563.6,1349.0,86.3,3,2,57.1,12.8,26.8,1.8,8.0,34.7,3.3,1,3,3,0,12,1,130.8,2.93,0,3,18.4,12.9,13.8,1,0,63.5,18.7,9.0,38.4,22,3,0,3,0.95,0.92,92.0,9.4,78,0,4,0,55.0,33.0,27.5,41.2,55.0,82.5,2,0,1,22.9,15,224.9,0,1,1,438,50.9,21.7,4.76,65.35000000000001,94.9,18.583333333333332,4,3
609.8,0,0,0,0,0,0,0,2.0,3.0,613.6,552.7,90.1,1,0,57.1,12.8,26.8,1.8,8.0,34.7,3.3,1,3,3,0,12,1,130.8,2.93,0,3,18.4,12.9,13.8,1,0,63.5,18.7,9.0,38.4,22,3,0,3,0.95,0.92,92.0,9.4,78,0,4,0,55.0,33.0,27.5,41.2,55.0,82.5,2,0,1,22.9,15,224.9,0,1,1,438,50.9,21.7,4.76,65.35000000000001,94.9,18.583333333333332,4,3
1318.4,1,1,41,52,61,1,0,1.0,4.0,1567.5,1349.6,86.1,3,2,57.1,12.8,26.8,1.8,8.0,34.7,3.3,1,3,3,0,12,1,130.8,2.93,0,3,18.4,12.9,13.8,1,0,63.5,18.7,9.0,38.4,22,3,0,3,0.95,0.92,92.0,9.4,78,0,4,0,55.0,33.0,27.5,41.2,55.0,82.5,2,0,1,22.9,15,224.9,0,1,1,438,50.9,21.7,4.76,65.35000000000001,94.9,18.583333333333332,4,3
