District,State,Flood_Threshold_Daily_mm,Flood_Threshold_3Day_mm,Flood_Threshold_Weekly_mm,Flood_Threshold_Annual_mm,Waterlogging_Threshold_mm,Extreme_Flood_Threshold_mm,Historical_Max_Daily_Rainfall_mm,Base_Flood_Risk,IMD_Category_At_Threshold,Return_Period_Years,Alert_Level_1_mm,Alert_Level_2_mm,Alert_Level_3_mm,Emergency_Level_mm
Bhadradri Kothagudem,Telangana,155.8,436.2,701.1,1246.4,93.5,280.4,340.0,Low,Extremely Heavy,25,77.9,116.9,155.8,233.7
Khammam,Telangana,85.0,238.0,382.5,680.0,51.0,153.0,263.0,Medium,Very Heavy,10,42.5,63.8,85.0,127.5
Nalgonda,Telangana,82.7,231.6,372.2,661.6,49.6,148.9,178.6,Medium,Very Heavy,5,41.4,62.0,82.7,124.1
Suryapet,Telangana,92.8,259.8,417.6,742.4,55.7,167.0,370.8,Medium,Very Heavy,10,46.4,69.6,92.8,139.2
Yadadri Bhuvanagiri,Telangana,111.7,312.8,502.7,893.6,67.0,201.1,359.7,Medium,Very Heavy,25,55.9,83.8,111.7,167.6
Mahabubnagar,Telangana,110.0,308.0,495.0,880.0,66.0,198.0,433.1,Medium,Very Heavy,25,55.0,82.5,110.0,165.0
Nagarkurnool,Telangana,158.6,444.1,713.7,1268.8,95.2,285.5,484.4,Low,Extremely Heavy,50,79.3,118.9,158.6,237.9
Wanaparthy,Telangana,114.8,321.4,516.6,918.4,68.9,206.6,239.0,Medium,Very Heavy,10,57.4,86.1,114.8,172.2
Gadwal,Telangana,83.0,232.4,373.5,664.0,49.8,149.4,178.4,Medium,Very Heavy,10,41.5,62.2,83.0,124.5
Narayanpet,Telangana,104.5,292.6,470.2,836.0,62.7,188.1,345.9,Medium,Very Heavy,5,52.2,78.4,104.5,156.8
Vikarabad,Telangana,88.7,248.4,399.2,709.6,53.2,159.7,278.6,Medium,Very Heavy,100,44.4,66.5,88.7,133.1
Siddipet,Telangana,75.2,210.6,338.4,601.6,45.1,135.4,209.7,High,Very Heavy,10,37.6,56.4,75.2,112.8
Jangaon,Telangana,121.2,339.4,545.4,969.6,72.7,218.2,304.2,Low,Extremely Heavy,10,60.6,90.9,121.2,181.8
Warangal,Telangana,90.0,252.0,405.0,720.0,54.0,162.0,214.8,Medium,Very Heavy,25,45.0,67.5,90.0,135.0
Hanamkonda,Telangana,131.5,368.2,591.8,1052.0,78.9,236.7,415.0,Low,Extremely Heavy,2,65.8,98.6,131.5,197.2
Mahabubabad,Telangana,114.2,319.8,513.9,913.6,68.5,205.6,367.7,Medium,Very Heavy,2,57.1,85.7,114.2,171.3
Nirmal,Telangana,145.6,407.7,655.2,1164.8,87.4,262.1,324.9,Low,Extremely Heavy,50,72.8,109.2,145.6,218.4
Adilabad,Telangana,100.0,280.0,450.0,800.0,60.0,180.0,246.6,Medium,Very Heavy,100,50.0,75.0,100.0,150.0
Kumuram Bheem,Telangana,159.1,445.5,715.9,1272.8,95.5,286.4,589.4,Low,Extremely Heavy,5,79.5,119.3,159.1,238.6
Mancherial,Telangana,155.8,436.2,701.1,1246.4,93.5,280.4,610.7,Low,Extremely Heavy,100,77.9,116.9,155.8,233.7
Asifabad,Telangana,76.8,215.0,345.6,614.4,46.1,138.2,243.8,High,Very Heavy,100,38.4,57.6,76.8,115.2
